Date,Symbol,Open,High,Low,Close,Volume
1975-07-09,SET,95.49,95.49,95.49,95.49,60980
1975-07-10,SET,96.43,96.43,96.43,96.43,574080
1975-07-11,SET,98.04,98.04,98.04,98.04,435050
1975-07-14,SET,99.53,99.53,99.53,99.53,570210
1975-07-15,SET,99.98,99.98,99.98,99.98,1545930
1975-07-16,SET,99.43,99.43,99.43,99.43,177080
1975-07-17,SET,99.77,99.77,99.77,99.77,133630
1975-07-18,SET,99.72,99.72,99.72,99.72,376040
1975-07-21,SET,100.02,100.02,100.02,100.02,319360
1975-07-22,SET,99.71,99.71,99.71,99.71,285130
1975-07-23,SET,100.11,100.11,100.11,100.11,137630
1975-07-25,SET,100.02,100.02,100.02,100.02,511020
1975-07-28,SET,99.65,99.65,99.65,99.65,181760
1975-07-29,SET,97.9,97.9,97.9,97.9,213830
1975-07-30,SET,97.09,97.09,97.09,97.09,113000
1975-07-31,SET,98.02,98.02,98.02,98.02,570810
1975-08-01,SET,100.0,100.0,100.0,100.0,705760
1975-08-04,SET,99.9,99.9,99.9,99.9,649960
1975-08-05,SET,99.76,99.76,99.76,99.76,533640
1975-08-06,SET,98.14,98.14,98.14,98.14,592470
1975-08-07,SET,98.54,98.54,98.54,98.54,104960
1975-08-08,SET,98.43,98.43,98.43,98.43,196300
1975-08-11,SET,98.67,98.67,98.67,98.67,102800
1975-08-13,SET,98.64,98.64,98.64,98.64,233540
1975-08-14,SET,98.52,98.52,98.52,98.52,170000
1975-08-15,SET,99.06,99.06,99.06,99.06,1049130
1975-08-18,SET,98.96,98.96,98.96,98.96,111170
1975-08-19,SET,99.67,99.67,99.67,99.67,85690
1975-08-20,SET,98.19,98.19,98.19,98.19,219160
1975-08-21,SET,98.87,98.87,98.87,98.87,250560
1975-08-22,SET,98.64,98.64,98.64,98.64,23630
1975-08-25,SET,98.65,98.65,98.65,98.65,41060
1975-08-26,SET,98.53,98.53,98.53,98.53,71790
1975-08-27,SET,98.52,98.52,98.52,98.52,36920
1975-08-28,SET,98.53,98.53,98.53,98.53,168920
1975-08-29,SET,98.39,98.39,98.39,98.39,78600
1975-09-01,SET,98.37,98.37,98.37,98.37,65400
1975-09-02,SET,98.37,98.37,98.37,98.37,166630
1975-09-03,SET,98.11,98.11,98.11,98.11,117990
1975-09-04,SET,96.86,96.86,96.86,96.86,155200
1975-09-05,SET,96.74,96.74,96.74,96.74,182980
1975-09-08,SET,96.75,96.75,96.75,96.75,79110
1975-09-09,SET,95.89,95.89,95.89,95.89,138360
1975-09-10,SET,95.12,95.12,95.12,95.12,199940
1975-09-11,SET,95.28,95.28,95.28,95.28,135540
1975-09-12,SET,94.53,94.53,94.53,94.53,161400
1975-09-15,SET,94.16,94.16,94.16,94.16,130000
1975-09-16,SET,92.67,92.67,92.67,92.67,182510
1975-09-17,SET,92.64,92.64,92.64,92.64,70400
1975-09-18,SET,93.15,93.15,93.15,93.15,59000
1975-09-19,SET,92.97,92.97,92.97,92.97,111000
1975-09-22,SET,93.34,93.34,93.34,93.34,71400
1975-09-23,SET,92.48,92.48,92.48,92.48,87000
1975-09-24,SET,92.23,92.23,92.23,92.23,82000
1975-09-25,SET,92.23,92.23,92.23,92.23,58270
1975-09-26,SET,92.47,92.47,92.47,92.47,195250
1975-09-29,SET,92.47,92.47,92.47,92.47,65550
1975-09-30,SET,92.1,92.1,92.1,92.1,80840
1975-10-01,SET,91.11,91.11,91.11,91.11,104500
1975-10-02,SET,91.48,91.48,91.48,91.48,63460
1975-10-03,SET,91.79,91.79,91.79,91.79,42780
1975-10-06,SET,91.65,91.65,91.65,91.65,122280
1975-10-07,SET,89.26,89.26,89.26,89.26,58220
1975-10-08,SET,91.28,91.28,91.28,91.28,84780
1975-10-09,SET,91.4,91.4,91.4,91.4,77130
1975-10-10,SET,91.11,91.11,91.11,91.11,153790
1975-10-13,SET,91.48,91.48,91.48,91.48,82350
1975-10-14,SET,92.33,92.33,92.33,92.33,152850
1975-10-15,SET,92.82,92.82,92.82,92.82,129760
1975-10-16,SET,92.32,92.32,92.32,92.32,128220
1975-10-17,SET,91.58,91.58,91.58,91.58,84720
1975-10-20,SET,91.11,91.11,91.11,91.11,47000
1975-10-21,SET,91.11,91.11,91.11,91.11,128550
1975-10-22,SET,91.48,91.48,91.48,91.48,18100
1975-10-24,SET,91.85,91.85,91.85,91.85,25550
1975-10-27,SET,90.99,90.99,90.99,90.99,24270
1975-10-28,SET,91.35,91.35,91.35,91.35,52640
1975-10-29,SET,91.35,91.35,91.35,91.35,127830
1975-10-30,SET,90.73,90.73,90.73,90.73,72860
1975-10-31,SET,91.1,91.1,91.1,91.1,80000
1975-11-03,SET,90.71,90.71,90.71,90.71,612910
1975-11-04,SET,90.46,90.46,90.46,90.46,103640
1975-11-05,SET,90.34,90.34,90.34,90.34,73020
1975-11-06,SET,90.08,90.08,90.08,90.08,107000
1975-11-07,SET,89.96,89.96,89.96,89.96,169270
1975-11-10,SET,89.83,89.83,89.83,89.83,173430
1975-11-11,SET,89.61,89.61,89.61,89.61,125860
1975-11-12,SET,89.42,89.42,89.42,89.42,160330
1975-11-13,SET,89.56,89.56,89.56,89.56,142770
1975-11-14,SET,89.56,89.56,89.56,89.56,867610
1975-11-17,SET,89.68,89.68,89.68,89.68,60120
1975-11-18,SET,89.68,89.68,89.68,89.68,15690
1975-11-19,SET,89.35,89.35,89.35,89.35,26900
1975-11-20,SET,89.47,89.47,89.47,89.47,88890
1975-11-21,SET,89.47,89.47,89.47,89.47,88390
1975-11-24,SET,89.47,89.47,89.47,89.47,94530
1975-11-25,SET,89.07,89.07,89.07,89.07,91000
1975-11-26,SET,89.07,89.07,89.07,89.07,440670
1975-11-27,SET,89.07,89.07,89.07,89.07,47080
1975-11-28,SET,89.07,89.07,89.07,89.07,10190
1975-12-01,SET,89.07,89.07,89.07,89.07,47780
1975-12-02,SET,88.99,88.99,88.99,88.99,71280
1975-12-03,SET,88.99,88.99,88.99,88.99,158210
1975-12-04,SET,88.98,88.98,88.98,88.98,225550
1975-12-08,SET,88.08,88.08,88.08,88.08,83650
1975-12-09,SET,87.47,87.47,87.47,87.47,226500
1975-12-11,SET,86.86,86.86,86.86,86.86,158000
1975-12-12,SET,86.78,86.78,86.78,86.78,48200
1975-12-15,SET,86.78,86.78,86.78,86.78,66340
1975-12-16,SET,86.62,86.62,86.62,86.62,27720
1975-12-17,SET,86.64,86.64,86.64,86.64,70740
1975-12-18,SET,85.91,85.91,85.91,85.91,199170
1975-12-19,SET,85.91,85.91,85.91,85.91,292440
1975-12-22,SET,85.19,85.19,85.19,85.19,92040
1975-12-23,SET,84.11,84.11,84.11,84.11,258000
1975-12-24,SET,84.11,84.11,84.11,84.11,318170
1975-12-26,SET,84.69,84.69,84.69,84.69,297370
1975-12-29,SET,84.45,84.45,84.45,84.45,117000
1975-12-30,SET,84.07,84.07,84.07,84.07,90050
1976-01-02,SET,83.95,83.95,83.95,83.95,59400
1976-01-05,SET,82.97,82.97,82.97,82.97,133980
1976-01-06,SET,82.97,82.97,82.97,82.97,196930
1976-01-07,SET,83.09,83.09,83.09,83.09,783070
1976-01-08,SET,82.85,82.85,82.85,82.85,256850
1976-01-09,SET,83.25,83.25,83.25,83.25,105460
1976-01-12,SET,83.01,83.01,83.01,83.01,105120
1976-01-13,SET,81.92,81.92,81.92,81.92,127470
1976-01-14,SET,82.28,82.28,82.28,82.28,79850
1976-01-15,SET,82.28,82.28,82.28,82.28,70030
1976-01-16,SET,82.28,82.28,82.28,82.28,8300
1976-01-19,SET,82.75,82.75,82.75,82.75,65640
1976-01-20,SET,82.64,82.64,82.64,82.64,243310
1976-01-21,SET,83.01,83.01,83.01,83.01,92730
1976-01-22,SET,83.01,83.01,83.01,83.01,94830
1976-01-23,SET,82.29,82.29,82.29,82.29,122110
1976-01-26,SET,82.63,82.63,82.63,82.63,37000
1976-01-27,SET,82.65,82.65,82.65,82.65,238320
1976-01-28,SET,82.31,82.31,82.31,82.31,77780
1976-01-29,SET,82.55,82.55,82.55,82.55,63550
1976-01-30,SET,82.55,82.55,82.55,82.55,50
1976-02-02,SET,82.55,82.55,82.55,82.55,24000
1976-02-03,SET,82.54,82.54,82.54,82.54,66650
1976-02-04,SET,82.62,82.62,82.62,82.62,35840
1976-02-05,SET,82.1,82.1,82.1,82.1,32120
1976-02-06,SET,82.14,82.14,82.14,82.14,83190
1976-02-09,SET,82.36,82.36,82.36,82.36,69480
1976-02-10,SET,82.48,82.48,82.48,82.48,33280
1976-02-11,SET,82.36,82.36,82.36,82.36,93870
1976-02-12,SET,81.52,81.52,81.52,81.52,50240
1976-02-13,SET,81.42,81.42,81.42,81.42,74660
1976-02-17,SET,79.94,79.94,79.94,79.94,105490
1976-02-18,SET,80.33,80.33,80.33,80.33,579820
1976-02-19,SET,80.43,80.43,80.43,80.43,43020
1976-02-20,SET,80.85,80.85,80.85,80.85,128580
1976-02-23,SET,81.21,81.21,81.21,81.21,185230
1976-02-24,SET,81.59,81.59,81.59,81.59,60260
1976-02-25,SET,81.62,81.62,81.62,81.62,65020
1976-02-26,SET,81.36,81.36,81.36,81.36,60180
1976-02-27,SET,80.9,80.9,80.9,80.9,604460
1976-03-01,SET,80.72,80.72,80.72,80.72,180000
1976-03-02,SET,81.09,81.09,81.09,81.09,948020
1976-03-03,SET,81.0,81.0,81.0,81.0,781020
1976-03-04,SET,81.26,81.26,81.26,81.26,79910
1976-03-05,SET,81.5,81.5,81.5,81.5,347880
1976-03-08,SET,81.5,81.5,81.5,81.5,599120
1976-03-09,SET,79.18,79.18,79.18,79.18,140600
1976-03-10,SET,78.91,78.91,78.91,78.91,130070
1976-03-11,SET,79.18,79.18,79.18,79.18,139440
1976-03-12,SET,78.41,78.41,78.41,78.41,64640
1976-03-15,SET,78.04,78.04,78.04,78.04,93400
1976-03-16,SET,76.73,76.73,76.73,76.73,183220
1976-03-17,SET,76.43,76.43,76.43,76.43,185780
1976-03-18,SET,76.57,76.57,76.57,76.57,126020
1976-03-19,SET,77.03,77.03,77.03,77.03,109500
1976-03-22,SET,77.06,77.06,77.06,77.06,70060
1976-03-23,SET,77.15,77.15,77.15,77.15,27920
1976-03-24,SET,77.15,77.15,77.15,77.15,37830
1976-03-25,SET,77.16,77.16,77.16,77.16,19600
1976-03-26,SET,77.13,77.13,77.13,77.13,40110
1976-03-29,SET,77.19,77.19,77.19,77.19,69360
1976-03-30,SET,77.22,77.22,77.22,77.22,81850
1976-03-31,SET,77.57,77.57,77.57,77.57,30120
1976-04-01,SET,77.44,77.44,77.44,77.44,91890
1976-04-02,SET,78.14,78.14,78.14,78.14,103340
1976-04-05,SET,79.15,79.15,79.15,79.15,127780
1976-04-07,SET,80.44,80.44,80.44,80.44,304770
1976-04-08,SET,80.95,80.95,80.95,80.95,190260
1976-04-09,SET,82.68,82.68,82.68,82.68,295810
1976-04-12,SET,82.48,82.48,82.48,82.48,879890
1976-04-14,SET,81.89,81.89,81.89,81.89,189860
1976-04-15,SET,81.49,81.49,81.49,81.49,171720
1976-04-16,SET,81.95,81.95,81.95,81.95,205680
1976-04-19,SET,82.33,82.33,82.33,82.33,344720
1976-04-20,SET,82.66,82.66,82.66,82.66,135670
1976-04-21,SET,82.3,82.3,82.3,82.3,205660
1976-04-22,SET,81.75,81.75,81.75,81.75,177450
1976-04-23,SET,80.8,80.8,80.8,80.8,432080
1976-04-26,SET,81.24,81.24,81.24,81.24,74100
1976-04-27,SET,80.91,80.91,80.91,80.91,104490
1976-04-28,SET,80.52,80.52,80.52,80.52,42410
1976-04-29,SET,80.88,80.88,80.88,80.88,114480
1976-04-30,SET,80.7,80.7,80.7,80.7,64920
1976-05-04,SET,81.07,81.07,81.07,81.07,87900
1976-05-06,SET,80.35,80.35,80.35,80.35,57990
1976-05-07,SET,80.12,80.12,80.12,80.12,141020
1976-05-10,SET,80.32,80.32,80.32,80.32,374360
1976-05-11,SET,80.17,80.17,80.17,80.17,323870
1976-05-12,SET,80.17,80.17,80.17,80.17,52290
1976-05-14,SET,79.89,79.89,79.89,79.89,62990
1976-05-17,SET,79.92,79.92,79.92,79.92,91480
1976-05-18,SET,79.96,79.96,79.96,79.96,74320
1976-05-19,SET,79.21,79.21,79.21,79.21,181010
1976-05-20,SET,78.42,78.42,78.42,78.42,194840
1976-05-21,SET,78.77,78.77,78.77,78.77,105230
1976-05-24,SET,78.86,78.86,78.86,78.86,176580
1976-05-25,SET,78.41,78.41,78.41,78.41,152180
1976-05-26,SET,78.39,78.39,78.39,78.39,68250
1976-05-27,SET,78.39,78.39,78.39,78.39,33060
1976-05-28,SET,78.33,78.33,78.33,78.33,155460
1976-05-31,SET,78.12,78.12,78.12,78.12,172260
1976-06-01,SET,77.86,77.86,77.86,77.86,223210
1976-06-02,SET,79.69,79.69,79.69,79.69,211740
1976-06-03,SET,77.82,77.82,77.82,77.82,274250
1976-06-04,SET,78.1,78.1,78.1,78.1,490500
1976-06-07,SET,78.1,78.1,78.1,78.1,82500
1976-06-08,SET,78.33,78.33,78.33,78.33,655120
1976-06-09,SET,78.66,78.66,78.66,78.66,527900
1976-06-10,SET,78.92,78.92,78.92,78.92,140700
1976-06-11,SET,79.04,79.04,79.04,79.04,95080
1976-06-14,SET,78.54,78.54,78.54,78.54,159800
1976-06-15,SET,78.15,78.15,78.15,78.15,228040
1976-06-16,SET,78.16,78.16,78.16,78.16,84720
1976-06-17,SET,78.27,78.27,78.27,78.27,146000
1976-06-18,SET,78.66,78.66,78.66,78.66,679650
1976-06-21,SET,78.94,78.94,78.94,78.94,94610
1976-06-22,SET,78.94,78.94,78.94,78.94,93510
1976-06-23,SET,78.95,78.95,78.95,78.95,125810
1976-06-24,SET,78.68,78.68,78.68,78.68,132230
1976-06-25,SET,78.1,78.1,78.1,78.1,258430
1976-06-28,SET,77.74,77.74,77.74,77.74,114660
1976-06-29,SET,77.71,77.71,77.71,77.71,191150
1976-06-30,SET,77.63,77.63,77.63,77.63,186620
1976-07-02,SET,77.37,77.37,77.37,77.37,35690
1976-07-05,SET,77.62,77.62,77.62,77.62,34840
1976-07-06,SET,77.61,77.61,77.61,77.61,82520
1976-07-07,SET,77.57,77.57,77.57,77.57,73820
1976-07-08,SET,77.68,77.68,77.68,77.68,173880
1976-07-09,SET,78.05,78.05,78.05,78.05,216230
1976-07-13,SET,77.69,77.69,77.69,77.69,93130
1976-07-14,SET,77.51,77.51,77.51,77.51,112040
1976-07-15,SET,77.55,77.55,77.55,77.55,120610
1976-07-16,SET,77.43,77.43,77.43,77.43,288140
1976-07-19,SET,77.72,77.72,77.72,77.72,87750
1976-07-20,SET,77.71,77.71,77.71,77.71,97770
1976-07-21,SET,78.32,78.32,78.32,78.32,327700
1976-07-22,SET,78.58,78.58,78.58,78.58,586650
1976-07-23,SET,79.64,79.64,79.64,79.64,516990
1976-07-26,SET,79.91,79.91,79.91,79.91,578560
1976-07-27,SET,79.64,79.64,79.64,79.64,219600
1976-07-28,SET,79.6,79.6,79.6,79.6,301060
1976-07-29,SET,79.16,79.16,79.16,79.16,191750
1976-07-30,SET,78.38,78.38,78.38,78.38,295760
1976-08-02,SET,78.92,78.92,78.92,78.92,136400
1976-08-03,SET,79.2,79.2,79.2,79.2,164700
1976-08-04,SET,79.1,79.1,79.1,79.1,65030
1976-08-05,SET,79.28,79.28,79.28,79.28,67650
1976-08-06,SET,79.37,79.37,79.37,79.37,86810
1976-08-09,SET,79.55,79.55,79.55,79.55,148600
1976-08-10,SET,79.6,79.6,79.6,79.6,34410
1976-08-11,SET,79.52,79.52,79.52,79.52,194280
1976-08-13,SET,79.5,79.5,79.5,79.5,114790
1976-08-16,SET,79.39,79.39,79.39,79.39,79190
1976-08-17,SET,79.02,79.02,79.02,79.02,337760
1976-08-18,SET,79.25,79.25,79.25,79.25,192960
1976-08-19,SET,79.42,79.42,79.42,79.42,76350
1976-08-20,SET,79.33,79.33,79.33,79.33,88680
1976-08-23,SET,79.58,79.58,79.58,79.58,1257450
1976-08-24,SET,79.32,79.32,79.32,79.32,166450
1976-08-25,SET,79.69,79.69,79.69,79.69,148120
1976-08-26,SET,79.77,79.77,79.77,79.77,261680
1976-08-27,SET,79.85,79.85,79.85,79.85,238120
1976-08-30,SET,79.64,79.64,79.64,79.64,206180
1976-08-31,SET,79.92,79.92,79.92,79.92,159580
1976-09-01,SET,79.64,79.64,79.64,79.64,55470
1976-09-02,SET,79.65,79.65,79.65,79.65,225660
1976-09-03,SET,79.58,79.58,79.58,79.58,241180
1976-09-06,SET,79.15,79.15,79.15,79.15,434780
1976-09-07,SET,79.4,79.4,79.4,79.4,130770
1976-09-08,SET,77.56,77.56,77.56,77.56,712760
1976-09-09,SET,77.79,77.79,77.79,77.79,241730
1976-09-10,SET,78.05,78.05,78.05,78.05,239490
1976-09-13,SET,78.4,78.4,78.4,78.4,131580
1976-09-14,SET,78.68,78.68,78.68,78.68,318290
1976-09-15,SET,78.62,78.62,78.62,78.62,93410
1976-09-16,SET,78.48,78.48,78.48,78.48,192000
1976-09-17,SET,78.25,78.25,78.25,78.25,97480
1976-09-20,SET,78.25,78.25,78.25,78.25,151580
1976-09-21,SET,78.5,78.5,78.5,78.5,197810
1976-09-22,SET,78.96,78.96,78.96,78.96,236480
1976-09-23,SET,79.8,79.8,79.8,79.8,331050
1976-09-24,SET,79.45,79.45,79.45,79.45,379400
1976-09-27,SET,79.45,79.45,79.45,79.45,95810
1976-09-28,SET,79.19,79.19,79.19,79.19,171130
1976-09-29,SET,79.32,79.32,79.32,79.32,225160
1976-09-30,SET,79.65,79.65,79.65,79.65,68590
1976-10-01,SET,79.72,79.72,79.72,79.72,69580
1976-10-04,SET,79.72,79.72,79.72,79.72,180740
1976-10-05,SET,79.8,79.8,79.8,79.8,85490
1976-10-06,SET,79.33,79.33,79.33,79.33,67400
1976-10-07,SET,79.48,79.48,79.48,79.48,117680
1976-10-08,SET,80.3,80.3,80.3,80.3,275820
1976-10-11,SET,80.13,80.13,80.13,80.13,433040
1976-10-12,SET,80.31,80.31,80.31,80.31,109840
1976-10-13,SET,80.14,80.14,80.14,80.14,245470
1976-10-14,SET,80.19,80.19,80.19,80.19,234610
1976-10-15,SET,80.21,80.21,80.21,80.21,204540
1976-10-18,SET,80.23,80.23,80.23,80.23,138100
1976-10-19,SET,80.22,80.22,80.22,80.22,130830
1976-10-20,SET,80.19,80.19,80.19,80.19,163820
1976-10-21,SET,80.19,80.19,80.19,80.19,236550
1976-10-22,SET,80.5,80.5,80.5,80.5,59630
1976-10-26,SET,80.26,80.26,80.26,80.26,130320
1976-10-27,SET,80.27,80.27,80.27,80.27,237930
1976-10-28,SET,80.08,80.08,80.08,80.08,241210
1976-10-29,SET,80.08,80.08,80.08,80.08,305180
1976-11-01,SET,80.24,80.24,80.24,80.24,199530
1976-11-02,SET,80.29,80.29,80.29,80.29,245600
1976-11-03,SET,80.05,80.05,80.05,80.05,441590
1976-11-04,SET,80.15,80.15,80.15,80.15,231600
1976-11-05,SET,80.16,80.16,80.16,80.16,248010
1976-11-08,SET,80.18,80.18,80.18,80.18,56350
1976-11-09,SET,80.23,80.23,80.23,80.23,82990
1976-11-10,SET,80.29,80.29,80.29,80.29,175290
1976-11-11,SET,80.35,80.35,80.35,80.35,135890
1976-11-12,SET,80.52,80.52,80.52,80.52,241520
1976-11-15,SET,80.42,80.42,80.42,80.42,135510
1976-11-16,SET,80.42,80.42,80.42,80.42,44450
1976-11-17,SET,80.65,80.65,80.65,80.65,163280
1976-11-18,SET,81.13,81.13,81.13,81.13,180470
1976-11-19,SET,80.61,80.61,80.61,80.61,629960
1976-11-22,SET,80.96,80.96,80.96,80.96,136450
1976-11-23,SET,81.22,81.22,81.22,81.22,253670
1976-11-24,SET,80.88,80.88,80.88,80.88,437750
1976-11-25,SET,80.38,80.38,80.38,80.38,460950
1976-11-26,SET,80.67,80.67,80.67,80.67,771520
1976-11-29,SET,80.62,80.62,80.62,80.62,113430
1976-11-30,SET,80.66,80.66,80.66,80.66,957050
1976-12-01,SET,80.64,80.64,80.64,80.64,200500
1976-12-02,SET,80.8,80.8,80.8,80.8,320300
1976-12-03,SET,80.43,80.43,80.43,80.43,361410
1976-12-07,SET,80.37,80.37,80.37,80.37,290150
1976-12-08,SET,80.76,80.76,80.76,80.76,271520
1976-12-09,SET,80.59,80.59,80.59,80.59,122740
1976-12-13,SET,80.77,80.77,80.77,80.77,222660
1976-12-14,SET,80.44,80.44,80.44,80.44,104250
1976-12-15,SET,80.48,80.48,80.48,80.48,116390
1976-12-16,SET,80.54,80.54,80.54,80.54,94870
1976-12-17,SET,80.49,80.49,80.49,80.49,229230
1976-12-20,SET,80.48,80.48,80.48,80.48,73740
1976-12-21,SET,80.86,80.86,80.86,80.86,256760
1976-12-22,SET,81.52,81.52,81.52,81.52,192700
1976-12-23,SET,81.74,81.74,81.74,81.74,141930
1976-12-24,SET,82.55,82.55,82.55,82.55,500230
1976-12-27,SET,82.76,82.76,82.76,82.76,450090
1976-12-28,SET,82.72,82.72,82.72,82.72,160660
1976-12-29,SET,82.4,82.4,82.4,82.4,221830
1976-12-30,SET,82.69,82.69,82.69,82.69,253850
1977-01-04,SET,82.48,82.48,82.48,82.48,91500
1977-01-05,SET,82.75,82.75,82.75,82.75,114010
1977-01-06,SET,82.76,82.76,82.76,82.76,223100
1977-01-07,SET,83.76,83.76,83.76,83.76,387090
1977-01-10,SET,83.74,83.74,83.74,83.74,576670
1977-01-11,SET,84.24,84.24,84.24,84.24,689920
1977-01-12,SET,85.13,85.13,85.13,85.13,1061860
1977-01-13,SET,86.27,86.27,86.27,86.27,716510
1977-01-14,SET,86.46,86.46,86.46,86.46,1045190
1977-01-17,SET,86.65,86.65,86.65,86.65,988940
1977-01-18,SET,86.58,86.58,86.58,86.58,781270
1977-01-19,SET,86.56,86.56,86.56,86.56,609420
1977-01-20,SET,86.16,86.16,86.16,86.16,308450
1977-01-21,SET,85.83,85.83,85.83,85.83,499150
1977-01-24,SET,85.99,85.99,85.99,85.99,252290
1977-01-25,SET,86.06,86.06,86.06,86.06,706360
1977-01-26,SET,86.01,86.01,86.01,86.01,377800
1977-01-27,SET,86.19,86.19,86.19,86.19,428510
1977-01-28,SET,87.52,87.52,87.52,87.52,583930
1977-01-31,SET,87.55,87.55,87.55,87.55,538810
1977-02-01,SET,87.93,87.93,87.93,87.93,942370
1977-02-02,SET,87.6,87.6,87.6,87.6,1207970
1977-02-03,SET,87.86,87.86,87.86,87.86,741130
1977-02-04,SET,87.6,87.6,87.6,87.6,889900
1977-02-07,SET,87.51,87.51,87.51,87.51,307570
1977-02-08,SET,87.57,87.57,87.57,87.57,337960
1977-02-09,SET,87.74,87.74,87.74,87.74,196630
1977-02-10,SET,87.12,87.12,87.12,87.12,621030
1977-02-11,SET,87.85,87.85,87.85,87.85,355680
1977-02-14,SET,88.01,88.01,88.01,88.01,481920
1977-02-15,SET,88.55,88.55,88.55,88.55,327560
1977-02-16,SET,88.94,88.94,88.94,88.94,1130950
1977-02-17,SET,88.89,88.89,88.89,88.89,813290
1977-02-21,SET,89.43,89.43,89.43,89.43,974160
1977-02-22,SET,89.4,89.4,89.4,89.4,620980
1977-02-23,SET,89.58,89.58,89.58,89.58,957450
1977-02-24,SET,89.62,89.62,89.62,89.62,1491990
1977-02-25,SET,90.26,90.26,90.26,90.26,819130
1977-02-28,SET,89.95,89.95,89.95,89.95,654830
1977-03-01,SET,89.83,89.83,89.83,89.83,1292210
1977-03-02,SET,90.11,90.11,90.11,90.11,1870620
1977-03-03,SET,90.55,90.55,90.55,90.55,2738290
1977-03-07,SET,90.56,90.56,90.56,90.56,1292700
1977-03-08,SET,90.54,90.54,90.54,90.54,590770
1977-03-09,SET,90.41,90.41,90.41,90.41,929790
1977-03-10,SET,89.41,89.41,89.41,89.41,1212250
1977-03-11,SET,89.7,89.7,89.7,89.7,1524980
1977-03-14,SET,89.7,89.7,89.7,89.7,2232850
1977-03-15,SET,89.43,89.43,89.43,89.43,2742940
1977-03-16,SET,89.4,89.4,89.4,89.4,1942550
1977-03-17,SET,89.84,89.84,89.84,89.84,914620
1977-03-18,SET,89.9,89.9,89.9,89.9,1135020
1977-03-21,SET,89.82,89.82,89.82,89.82,738750
1977-03-22,SET,90.89,90.89,90.89,90.89,1241480
1977-03-23,SET,91.19,91.19,91.19,91.19,2249130
1977-03-24,SET,91.64,91.64,91.64,91.64,2879970
1977-03-25,SET,92.02,92.02,92.02,92.02,2162170
1977-03-28,SET,92.6,92.6,92.6,92.6,1120750
1977-03-29,SET,92.94,92.94,92.94,92.94,1663080
1977-03-30,SET,93.88,93.88,93.88,93.88,1568580
1977-03-31,SET,97.68,97.68,97.68,97.68,3645990
1977-04-01,SET,97.65,97.65,97.65,97.65,4003060
1977-04-04,SET,98.24,98.24,98.24,98.24,2271970
1977-04-05,SET,98.61,98.61,98.61,98.61,3132350
1977-04-07,SET,100.34,100.34,100.34,100.34,2437640
1977-04-08,SET,101.93,101.93,101.93,101.93,4641070
